,,,,,
nomFR,nomEN,nombreUnite,Date,Farm,Map
Aile de Griffon givrée,Frosted Griffon Wings,2,27/02/2023,"Il y a un grand groupe de griffons le long du bord sud, juste à l'extérieur du Camp Rankor.",https://wiki.guildwars.com/images/6/67/Nicholas_the_Traveler_Snake_Dance_map.jpg
Aile de skree,Skree Wing,3,21/08/2023,"Tu peux les farm en répétant la quête ""Mesures désespérées"" donnée par Kamveh aux Montagnes de la tribune",https://wiki.guildwars.com/images/5/57/Nicholas_the_Traveler_Forum_Highlands_map.jpg
Aileron de marécailleux,Bog Skale Fin,3,18/04/2022,Tu peux les farm à la Kryte du Nord ou aux Larmes des Déchus,https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Scoundrel%27s_Rise_map.jpg
Bandage de momie,Mummy Wrapping,3,14/10/2024,Tu peux les farm à la sortie du Palais des Morts dans le Domaine de Joko,https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_The_Sulfurous_Wastes_map.jpg
Biens pillés,Pillaged Goods,1,30/01/2023,"Tu peux les farm en sortant de la Horde de Jennur, dans les Mines de Vehjin, jusqu'au portail vers le Territoire de Chokhin",https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Holdings_of_Chokhin_map.jpg
Bière des Nains,Dwarven Ale,6,20/05/2024,Tu peux en acheter aux Marchands dans les Cimefroides du Sud ainsi qu'à la Plage de l'Embarquement,https://wiki.guildwars.com/images/4/48/Nicholas_the_Traveler_The_Floodplain_of_Mahnkelon_map.jpg
Blason abîmé d'Orr,Decayed Orr Emblem,3,15/04/2024,"Tu peux les farm pendant la coop ""Portes de Kryte"" derrière la porte à côté de Grouik",https://wiki.guildwars.com/images/f/f4/Nicholas_the_Traveler_Cursed_Lands_map.jpg
Bol de soupe d'ailerons d'écailleux,Bowl of Skalefin Soup,1,02/10/2023,Tu peux en avoir en échangeant 2 Ailerons d'Ecailleux au Chef Panjoh à l'Astralarium,https://wiki.guildwars.com/images/a/a3/Nicholas_the_Traveler_Zehlon_Reach_map.jpg
Bosse calleuse,Hardened Hump,2,17/07/2023,Tu peux en avoir dans le Plateau Nebon en tuant des Ettins,https://wiki.guildwars.com/images/e/ed/Nicholas_the_Traveler_Nebo_Terrace_map.jpg
Bosse givrée,Icy Hump,3,11/03/2024,Tu peux les farm dans la grotte de la Gueule du Griffon et rezone dans le Bassin de Deldrimor,https://wiki.guildwars.com/images/thumb/b/b1/Nicholas_the_Traveler_Iron_Horse_Mine_map.jpg/800px-Nicholas_the_Traveler_Iron_Horse_Mine_map.jpg
